,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
πρώτη ύλη,9,"7,9","8,5","9,5","9,2","9,8","10,3","11,4","10,2","10,6","9,5","11,1","13,9",14
μεταποίηση ,4,4,"4,6","4,7","4,7","4,8","4,7","4,8","5,2","5,5","5,8",6,"5,5",8
«άναντη»,"11,8","12,1","12,3","12,5","12,2","11,1","11,2","11,4","11,7","11,7","12,1","12,7","15,7",16
διανομή,"4,2","4,5","4,3","4,6","4,3","4,6","4,3","4,3","4,3","4,5",4,"4,7","6,6","6,9"
σύνολο ,29,"28,5","29,7","31,3","30,4","30,3","30,5","31,9","31,4","32,3","31,4","34,5","41,7","44,9"
,,,,,,,,,,,,,,
Ως ποσοστό του συνόλου,,,,,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
πρώτη ύλη,"31,03","27,72","28,62","30,35","30,26","32,34","33,77","35,74","32,48","32,82","30,25","32,17","33,33","31,18"
μεταποίηση ,"13,79","14,04","15,49","15,02","15,46","15,84","15,41","15,05","16,56","17,03","18,47","17,39","13,19","17,82"
«άναντη»,"40,69","42,46","41,41","39,94","40,13","36,63","36,72","35,74","37,26","36,22","38,54","36,81","37,65","35,63"
διανομή,"14,48","15,79","14,48","14,70","14,14","15,18","14,10","13,48","13,69","13,93","12,74","13,62","15,83","15,37"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ποσοστιαία αύξηση 2010 - 2023,,,,,,,,,,,,,,
πρώτη ύλη ,"55,56%",,,,,,,,,,,,,
μεταποίηση ,"100,00%",,,,,,,,,,,,,
«άναντη»,"35,59%",,,,,,,,,,,,,
διανομή,"64,29%",,,,,,,,,,,,,